setting_id,rep,seed,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,n,test_frac,alpha,B,tau,censor_rate_emp,admin_mass_emp,coverage,mean_len,sd_len
s030,2,20560215,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.7041612227347676,0.13285714285714287,0.015714285714285715,0.8966666666666666,6.494868811234107,0.21257713062626002
s030,3,20560216,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.367938230842567,0.12571428571428572,0.017857142857142856,0.8883333333333333,6.103631400440314,0.28437831919389867
s030,4,20560217,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.007151083356693,0.10571428571428572,0.016428571428571428,0.8783333333333333,5.797132981441878,0.26156359159923426
s030,5,20560218,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.24147531358533,0.11428571428571428,0.013571428571428571,0.8933333333333333,5.991659725729981,0.3085641698234279
s030,6,20560219,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,5.8373811680857,0.11214285714285714,0.016428571428571428,0.875,5.591295370908339,0.26099064808857375
s030,7,20560220,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.105240832108873,0.11857142857142858,0.017142857142857144,0.9066666666666666,5.863546342941321,0.2642117150003692
s030,8,20560221,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.236901674484369,0.13142857142857142,0.012142857142857143,0.88,5.993862446350651,0.3133162149023274
s030,9,20560222,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.116709208454422,0.10428571428571429,0.019285714285714285,0.88,5.858698040493825,0.26937975052594676
s030,10,20560223,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,5.715706953665197,0.10857142857142857,0.016428571428571428,0.905,5.4940068465937895,0.23097240562961124
s030,11,20560224,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,5.854925223686985,0.115,0.019285714285714285,0.8933333333333333,5.617277180261719,0.24831880113483773
s030,12,20560225,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.0552246425748795,0.11714285714285715,0.017142857142857144,0.8633333333333333,5.800762077252871,0.2812503787432153
s030,13,20560226,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,5.740718645994886,0.12857142857142856,0.017857142857142856,0.915,5.536934176294765,0.19498057349783815
s030,14,20560227,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.469317607799382,0.115,0.022857142857142857,0.9366666666666666,6.309184977164025,0.16565329741757331
s030,15,20560228,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.528967812300181,0.11928571428571429,0.016428571428571428,0.9066666666666666,6.309564100524089,0.29199803244404976
s030,16,20560229,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,7.2207963717169195,0.10857142857142857,0.018571428571428572,0.8916666666666667,6.99566021007148,0.23834299930241892
s030,17,20560230,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.242236450266172,0.10785714285714286,0.017857142857142856,0.9066666666666666,6.026671628562108,0.20801470121736054
s030,18,20560231,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.444034257039695,0.11,0.018571428571428572,0.8916666666666667,6.24327084716376,0.21152611676249258
s030,19,20560232,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.553074607693045,0.11357142857142857,0.015714285714285715,0.8816666666666667,6.274759513736044,0.32196920987407657
s030,20,20560233,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.3162103421994225,0.12142857142857143,0.010714285714285714,0.905,6.079720367329102,0.23555445564781877
s030,21,20560234,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.502219607873913,0.13857142857142857,0.02214285714285714,0.915,6.294618553892156,0.18074780228236334
s030,22,20560235,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.518121697227543,0.11785714285714285,0.015714285714285715,0.9016666666666666,6.269930917326242,0.29926851116353637
s030,23,20560236,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.002979954400907,0.10357142857142858,0.017857142857142856,0.9083333333333333,5.80303374524396,0.2326520551143905
s030,24,20560237,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.324766408892946,0.13642857142857143,0.017857142857142856,0.8866666666666667,6.087024968636764,0.2614922870760689
s030,25,20560238,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,5.922875805016821,0.11642857142857142,0.017142857142857144,0.895,5.663881311494494,0.2897592518301714
s030,26,20560239,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.6653251130339815,0.11642857142857142,0.018571428571428572,0.88,6.440077265282089,0.21148543964258382
s030,27,20560240,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.1749407704297266,0.12571428571428572,0.017857142857142856,0.905,5.941257750190601,0.23630320813706734
s030,28,20560241,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,6.326056805953813,0.12071428571428572,0.015,0.9083333333333333,6.0744504107021315,0.24668736081690862
s030,29,20560242,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,5.553693552044103,0.12214285714285714,0.014285714285714285,0.9033333333333333,5.314326276924668,0.2877952528095886
s030,30,20560243,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,2000,0.3,0.1,1500,7.04925339003222,0.12428571428571429,0.017857142857142856,0.9083333333333333,6.828251267416626,0.2254670274188534
s031,1,20570214,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.5554276634138104,0.3607142857142857,0.15214285714285714,0.9083333333333333,1.340242924047527,0.21803520208983032
s031,2,20570215,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.5963107283415643,0.3535714285714286,0.15142857142857144,0.9016666666666666,1.381817889788735,0.2180407127293553
s031,3,20570216,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.6122576593076703,0.3557142857142857,0.155,0.8966666666666666,1.363995777293311,0.2791715065889365
s031,4,20570217,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.5841834009658113,0.34785714285714286,0.15071428571428572,0.885,1.3640217924814844,0.22328895740491753
s031,5,20570218,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.579946503239,0.37,0.1457142857142857,0.9166666666666666,1.344616267285788,0.22929068107093847
s031,6,20570219,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.6503142541978344,0.3557142857142857,0.15,0.9116666666666666,1.4322823133858011,0.23340523493656448
s031,7,20570220,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.6168514142368493,0.375,0.15357142857142858,0.9116666666666666,1.4050542310735008,0.22320745879943274
s031,8,20570221,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.5820874534322564,0.35928571428571426,0.1457142857142857,0.905,1.3687381701380399,0.21873387475315573
s031,9,20570222,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.6349512798996146,0.3514285714285714,0.16142857142857142,0.8966666666666666,1.4192760467292975,0.256456382641199
s031,10,20570223,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.6378819988754247,0.34214285714285714,0.1442857142857143,0.92,1.4367624621238095,0.1836664542784965
s031,11,20570224,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.6415014806011738,0.35928571428571426,0.15571428571428572,0.9016666666666666,1.4019686886541145,0.2551143491493783
s031,12,20570225,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.5339717242933233,0.37,0.1492857142857143,0.905,1.3077414099573017,0.23052814043239678
s031,13,20570226,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.5821204102067692,0.3414285714285714,0.15285714285714286,0.9066666666666666,1.3692169657244406,0.19622145151165082
s031,14,20570227,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.5573421999305688,0.3435714285714286,0.16357142857142856,0.895,1.335865296579967,0.18997669013633323
s031,15,20570228,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.5762920591996306,0.36214285714285716,0.15714285714285714,0.9083333333333333,1.3225782937286747,0.25535961740607244
s031,16,20570229,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.6324092522280766,0.36142857142857143,0.15,0.9183333333333333,1.4080058083168594,0.2267554540920432
s031,17,20570230,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.628836608009226,0.36857142857142855,0.16142857142857142,0.8833333333333333,1.3764781527590477,0.2493186840913414
s031,18,20570231,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.5837653106015301,0.36857142857142855,0.15785714285714286,0.9033333333333333,1.355615181828977,0.21420068118621993
s031,19,20570232,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.6882456239845027,0.35714285714285715,0.15857142857142856,0.8883333333333333,1.4576930500646719,0.22858413601500907
s031,20,20570233,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.5821474044530395,0.3385714285714286,0.15714285714285714,0.915,1.3666142171156301,0.23177551177904468
s031,21,20570234,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.6561559256486056,0.36428571428571427,0.16285714285714287,0.9066666666666666,1.4053225116788624,0.2752514213460153
s031,22,20570235,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.510545528180026,0.35428571428571426,0.14642857142857144,0.9166666666666666,1.326445792100006,0.1872672508769641
s031,23,20570236,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.48318474676146,0.3692857142857143,0.15714285714285714,0.9016666666666666,1.2589025500853273,0.204465909833198
s031,24,20570237,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.6962725567440697,0.35214285714285715,0.16,0.8983333333333333,1.473664331553281,0.18758072622998162
s031,25,20570238,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.5674581465554667,0.35214285714285715,0.15071428571428572,0.9066666666666666,1.3745600927775126,0.17639458882470105
s031,26,20570239,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.694678102527286,0.34285714285714286,0.15785714285714286,0.8866666666666667,1.4633066976787437,0.2302974954939653
