method_id,method_label,coverage,mean_len,sd_len,setting_id,rep,seed,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,n,test_frac,alpha,B,tau,censor_rate_emp,admin_mass_emp,train_n,test_n,split_support_n,split_fit_n
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9016666666666666,2.0263751817554914,0.06672959755953409,s002,4,20280416,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.188454016678065,0.16785714285714284,0.075,1400,600,700,700
cp_cox_full,CP + Cox,0.87,2.1618613721100512,0.07047384455549507,s002,5,20280417,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.3289878567994666,0.16214285714285714,0.07571428571428572,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.8966666666666666,2.1923761154808235,0.05209467059933478,s002,5,20280417,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.3289878567994666,0.16214285714285714,0.07571428571428572,1400,600,700,700
cp_cox_full,CP + Cox,0.9083333333333333,2.132063041435772,0.07797620448327822,s002,6,20280418,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.311360912464777,0.17357142857142857,0.08285714285714285,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.915,2.1441693241119144,0.0751551249854062,s002,6,20280418,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.311360912464777,0.17357142857142857,0.08285714285714285,1400,600,700,700
cp_cox_full,CP + Cox,0.9183333333333333,2.0976482202414792,0.09252209144235542,s002,7,20280419,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.2689775993419,0.16357142857142856,0.08571428571428572,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9083333333333333,2.087212101851726,0.09897137132311988,s002,7,20280419,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.2689775993419,0.16357142857142856,0.08571428571428572,1400,600,700,700
cp_cox_full,CP + Cox,0.8916666666666667,2.15081063730672,0.07387581163054525,s002,8,20280420,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.3219333303801473,0.18714285714285714,0.075,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.8783333333333333,2.140095952215239,0.07282581206420252,s002,8,20280420,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.3219333303801473,0.18714285714285714,0.075,1400,600,700,700
cp_cox_full,CP + Cox,0.9,2.2277653126818096,0.06712407162572301,s002,9,20280421,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.3888756751175233,0.17,0.07214285714285715,1400,600,700,700
