setting_id,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,method_id,method_label,n,test_frac,alpha,B,n_rep,tau_mean,coverage_mean,coverage_sd,length_mean,length_sd,censor_rate_emp_mean,admin_mass_emp_mean,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
s021,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.1,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.3637093634274913,0.8983333333333333,0.016911987632164897,2.063154539987335,0.07551056087839507,0.1275952380952381,0.022571428571428572,2.0452296421327034,0.0030876923727950318,0.013786279174321363,0.8920182933667059,0.9046483732999607,2.034958433165296,2.0913506468093734,0.9,0.0016666666666667052
s022,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.2,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.2418166106207027,0.898,0.01382290841085427,0.9378599996539999,0.02526829404183958,0.3735,0.17302380952380952,2.0452296421327034,0.0025237062489842574,0.004613338212129642,0.8928384411715419,0.9031615588284582,0.9284246635933688,0.947295335714631,0.9,0.0020000000000000018
s023,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.2,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.7424294460550287,0.898,0.013422118189949784,1.4405205035137951,0.03274958880236593,0.2667380952380952,0.06311904761904762,2.0452296421327034,0.002450532300711969,0.005979229512024805,0.8929880986995803,0.9030119013004198,1.4282916060786874,1.4527494009489028,0.9,0.0020000000000000018
s024,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.2,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.3474873436729027,0.9036111111111111,0.015350835421831233,2.0522959023319842,0.068804642840884625,0.21592857142857144,0.017357142857142856,2.0452296421327034,0.0028026662790287663,0.012561951648346281,0.8978790149602357,0.9093432072619866,2.0266038264577486,2.07798797820622,0.9,0.0036111111111111205
s025,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.35,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.2429123005712432,0.8978333333333334,0.015394866537544662,0.9380076638848522,0.026357827447976063,0.46973809523809523,0.12259523809523809,2.0452296421327034,0.0028107052241315546,0.004812258886695105,0.8920847956936423,0.9035818709730244,0.9281654893641669,0.9478498384055376,0.9,0.00216666666666665
s026,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.35,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.7383840118141818,0.8970555555555556,0.01500117066525892,1.4369304294888683,0.03518544596770582,0.38311904761904764,0.040857142857142856,2.0452296421327034,0.002738826520782363,0.006423954150797222,0.8914540263705923,0.9026570847405189,1.4237919680399564,1.4500688909377801,0.9,0.0029444444444444162
s027,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.35,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.355577206129048,0.8938888888888888,0.01419171776526686,2.050736124162601,0.058650397781570836,0.3601190476190476,0.008523809523809524,2.0452296421327034,0.0025910413165944886,0.010708048623872432,0.8885896143841993,0.8991881633935784,2.028835705707659,2.0726365426175435,0.9,0.006111111111111178
s028,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.5968428562504924,0.8989444444444444,0.018623530481940036,1.3736120340901914,0.052824686798617834,0.3026190476190476,0.20316666666666666,2.0452296421327034,0.0034001759151145385,0.009644424184249448,0.8919903038743865,0.9058985850145024,1.3538869718672628,1.39333709631312,0.9,0.0010555555555555873
s029,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,3.261771881307051,0.9035555555555556,0.018712041185100548,3.0343040147836593,0.12407761624930509,0.1722857142857143,0.07092857142857142,2.0452296421327034,0.003416335684681757,0.022653369767071312,0.8965683645457687,0.9105427465653424,2.9879726714418524,3.080635358125466,0.9,0.003555555555555534
s030,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,6.235133628632687,0.8994444444444445,0.016261355203437473,6.009589639225102,0.36938739202653725,0.11345238095238096,0.016904761904761905,2.0452296421327034,0.0029689036868422378,0.06744060235697946,0.8933723546194777,0.9055165342694113,5.871658120201324,6.147521158248881,0.9,5.555555555555314e-4
