setting_id,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,method_id,method_label,n,test_frac,alpha,B,n_rep,tau_mean,coverage_mean,coverage_sd,length_mean,length_sd,censor_rate_emp_mean,admin_mass_emp_mean,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
s021,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.1,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.368757384728042,0.8985555555555556,0.01679680988990619,2.0675003568436945,0.07380610001726175,0.12721428571428572,0.02269047619047619,2.0452296421327034,0.0030666638902758286,0.01347508862031223,0.8922835236647054,0.9048275874464057,2.0399407061670667,2.0950600075203223,0.9,0.0014444444444444704
s022,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.2,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.243318993466505,0.8983333333333333,0.014476827831445072,0.9387852559397915,0.025333081095891535,0.374047619047619,0.17295238095238094,2.0452296421327034,0.002643095054800354,0.0046251666557758295,0.8929275969802812,0.9037390696863854,0.929325727995595,0.9482447838839879,0.9,0.0016666666666667052
s023,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.2,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.7435210073203504,0.8982222222222223,0.0133400366291447,1.4420070449849878,0.03231853086560434,0.26626190476190476,0.06321428571428571,2.0452296421327034,0.0024355463265759098,0.00590052946017282,0.8932409706803218,0.9032034737641227,1.429939107228765,1.4540749827412105,0.9,0.001777777777777767
s024,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.2,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.3439067563139493,0.9035555555555556,0.0152547545087205,2.047863595552192,0.06919208811891088,0.21683333333333332,0.017404761904761906,2.0452296421327034,0.0027851243845432856,0.012632689154537562,0.897859336607261,0.9092517745038501,2.0220268452334835,2.0737003458709005,0.9,0.003555555555555534
s025,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.35,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.2424866655510667,0.8957777777777778,0.01766402785179287,0.9362681757209911,0.028205300439235553,0.47085714285714286,0.12238095238095238,2.0452296421327034,0.0032249955036088257,0.005149559763926561,0.8891819213780523,0.9023736341775033,0.9257361434478746,0.9468002079941076,0.9,0.004222222222222238
s026,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.35,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.7397599721975776,0.8974444444444445,0.015361127566105656,1.4391945687958076,0.034732229610016936,0.383,0.04057142857142857,2.0452296421327034,0.0028045453588901657,0.006341208543285045,0.8917085051437367,0.9031803837451523,1.4262253411161359,1.4521637964754794,0.9,0.002555555555555533
s027,high_shape,Higher Weibull shape,3,0.3,1.8,1,0.35,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,2.356169341915422,0.8930555555555556,0.014746149139069256,2.048834079301365,0.05912032357656502,0.35973809523809525,0.008595238095238095,2.0452296421327034,0.0026922661732678723,0.010793844943296388,0.887549252973477,0.8985618581376342,2.026758187670751,2.0709099709319787,0.9,0.00694444444444442
s028,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.5974722266480221,0.8982777777777777,0.018878941487092227,1.374678751639398,0.05385472993111556,0.3026666666666667,0.20345238095238094,2.0452296421327034,0.003446807371433513,0.00983248347054021,0.8912282651710004,0.9053272903845551,1.3545690649896693,1.3947884382891265,0.9,0.0017222222222222916
s029,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,3.2609908878947764,0.9038888888888889,0.01855061076197765,3.0335414224613326,0.1234672888657819,0.17252380952380952,0.07083333333333333,2.0452296421327034,0.0033868626566110854,0.02254193974193173,0.8969619769897555,0.9108158007880222,2.9874379791099646,3.0796448658127007,0.9,0.0038888888888888307
s030,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.1,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,6.221218335146006,0.9006111111111111,0.015947010753729556,5.998849170087355,0.367218230711203,0.11345238095238096,0.01695238095238095,2.0452296421327034,0.0029115125048650463,0.06704456949588741,0.8946563994327211,0.9065658227895012,5.86172762921034,6.1359707109643695,0.9,6.111111111111178e-4
