method_id,method_label,coverage,mean_len,sd_len,scenario_id,scenario_label,rep,seed,tau_quantile,tau,n,test_frac,p,beta_scale,sigma,cens_target,alpha,B,n_folds,censor_rate_emp,admin_mass_emp
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8933333333333333,1.1157041464593778,0.1996766163351136,aft_lognormal_linear,Log-Normal AFT (Linear),27,28260441,0.7,1.5376664773904274,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.42428571428571427,0.22285714285714286
cp_cox_full,CP + Cox,0.8716666666666667,1.1461859711808087,0.21430180225897982,aft_lognormal_linear,Log-Normal AFT (Linear),28,28260442,0.7,1.5832640829055267,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.41,0.2092857142857143
cp_cox_crossfit,CP + Cox (Cross-Fit),0.885,1.1641141220197633,0.20593778451555714,aft_lognormal_linear,Log-Normal AFT (Linear),28,28260442,0.7,1.5832640829055267,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.41,0.2092857142857143
cp_cox_full,CP + Cox,0.925,1.2456915454732678,0.164865182106746,aft_lognormal_linear,Log-Normal AFT (Linear),29,28260443,0.7,1.6182312704368995,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.40785714285714286,0.215
cp_cox_crossfit,CP + Cox (Cross-Fit),0.92,1.222436657733727,0.18037114274328722,aft_lognormal_linear,Log-Normal AFT (Linear),29,28260443,0.7,1.6182312704368995,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.40785714285714286,0.215
cp_cox_full,CP + Cox,0.9033333333333333,1.125546185285421,0.16917838816535027,aft_lognormal_linear,Log-Normal AFT (Linear),30,28260444,0.7,1.5460356545402654,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4057142857142857,0.2042857142857143
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8916666666666667,1.1115902679460843,0.17634912006022846,aft_lognormal_linear,Log-Normal AFT (Linear),30,28260444,0.7,1.5460356545402654,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4057142857142857,0.2042857142857143
cp_cox_full,CP + Cox,0.9216666666666666,1.5743989781063192,0.17783378921554516,aft_lognormal_linear,Log-Normal AFT (Linear),1,29260415,0.8,1.9979683876505185,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32571428571428573,0.13
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9266666666666666,1.5863711674516288,0.17084351797914032,aft_lognormal_linear,Log-Normal AFT (Linear),1,29260415,0.8,1.9979683876505185,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32571428571428573,0.13
cp_cox_full,CP + Cox,0.8833333333333333,1.6762997354697113,0.1726579566584463,aft_lognormal_linear,Log-Normal AFT (Linear),2,29260416,0.8,2.1434110577515257,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32,0.12285714285714286
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9016666666666666,1.6998381826862219,0.16032090020290393,aft_lognormal_linear,Log-Normal AFT (Linear),2,29260416,0.8,2.1434110577515257,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32,0.12285714285714286
cp_cox_full,CP + Cox,0.915,1.6601170607107538,0.16290330598577943,aft_lognormal_linear,Log-Normal AFT (Linear),3,29260417,0.8,2.0910664125448712,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32357142857142857,0.13857142857142857
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9033333333333333,1.636700863960038,0.17522061676293565,aft_lognormal_linear,Log-Normal AFT (Linear),3,29260417,0.8,2.0910664125448712,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32357142857142857,0.13857142857142857
cp_cox_full,CP + Cox,0.8866666666666667,1.7201918915349539,0.22491001205447977,aft_lognormal_linear,Log-Normal AFT (Linear),4,29260418,0.8,2.1800991353632955,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32,0.13857142857142857
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8983333333333333,1.7452670193023683,0.2070675841089916,aft_lognormal_linear,Log-Normal AFT (Linear),4,29260418,0.8,2.1800991353632955,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32,0.13857142857142857
cp_cox_full,CP + Cox,0.9033333333333333,1.7211332854242558,0.19234201377396629,aft_lognormal_linear,Log-Normal AFT (Linear),5,29260419,0.8,2.1409026884806006,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3142857142857143,0.12714285714285714
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9033333333333333,1.714259579036399,0.1962101055525206,aft_lognormal_linear,Log-Normal AFT (Linear),5,29260419,0.8,2.1409026884806006,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3142857142857143,0.12714285714285714
cp_cox_full,CP + Cox,0.9066666666666666,1.5914034539321282,0.17886350477876747,aft_lognormal_linear,Log-Normal AFT (Linear),6,29260420,0.8,2.0054980002932363,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32785714285714285,0.12642857142857142
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9133333333333333,1.60016829636257,0.17435530222850223,aft_lognormal_linear,Log-Normal AFT (Linear),6,29260420,0.8,2.0054980002932363,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32785714285714285,0.12642857142857142
