method_id,method_label,coverage,mean_len,sd_len,scenario_id,scenario_label,rep,seed,tau_quantile,tau,n,test_frac,p,beta_scale,sigma,cens_target,alpha,B,split_frac,censor_rate_emp,admin_mass_emp
cp_cox_full,CP + Cox,0.9366666666666666,1.5973600237789254,0.19654942910007234,aft_lognormal_linear,Log-Normal AFT (Linear),4,20440419,0.8,2.0272039878242714,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.33285714285714285,0.13285714285714287
cp_cox_halfsplit,CP + Cox (Half-Split),0.9366666666666666,1.6077548573806173,0.18346193051843707,aft_lognormal_linear,Log-Normal AFT (Linear),4,20440419,0.8,2.0272039878242714,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.33285714285714285,0.13285714285714287
cp_cox_full,CP + Cox,0.8833333333333333,1.5674860582074879,0.19647591711084267,aft_lognormal_linear,Log-Normal AFT (Linear),5,20440420,0.8,2.0094172138084554,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3335714285714286,0.12928571428571428
cp_cox_halfsplit,CP + Cox (Half-Split),0.905,1.6285679053858146,0.1522214982688045,aft_lognormal_linear,Log-Normal AFT (Linear),5,20440420,0.8,2.0094172138084554,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3335714285714286,0.12928571428571428
cp_cox_full,CP + Cox,0.8866666666666667,1.61554363627264,0.18050075789334585,aft_lognormal_linear,Log-Normal AFT (Linear),6,20440421,0.8,2.042107357208727,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.31357142857142856,0.1407142857142857
cp_cox_halfsplit,CP + Cox (Half-Split),0.8933333333333333,1.6385384041514721,0.1616348133164112,aft_lognormal_linear,Log-Normal AFT (Linear),6,20440421,0.8,2.042107357208727,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.31357142857142856,0.1407142857142857
cp_cox_full,CP + Cox,0.9,1.7031443231868353,0.20422611005140728,aft_lognormal_linear,Log-Normal AFT (Linear),7,20440422,0.8,2.135337266763278,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.33,0.13
cp_cox_halfsplit,CP + Cox (Half-Split),0.875,1.6531766053850563,0.23953666084471797,aft_lognormal_linear,Log-Normal AFT (Linear),7,20440422,0.8,2.135337266763278,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.33,0.13
cp_cox_full,CP + Cox,0.9233333333333333,1.5847908160505348,0.15472003982951008,aft_lognormal_linear,Log-Normal AFT (Linear),8,20440423,0.8,2.006297898780093,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.36357142857142855,0.12714285714285714
cp_cox_halfsplit,CP + Cox (Half-Split),0.9,1.541890356888253,0.19358236246259738,aft_lognormal_linear,Log-Normal AFT (Linear),8,20440423,0.8,2.006297898780093,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.36357142857142855,0.12714285714285714
cp_cox_full,CP + Cox,0.9066666666666666,1.6174319691528083,0.16162347656258613,aft_lognormal_linear,Log-Normal AFT (Linear),9,20440424,0.8,2.019753541063662,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3092857142857143,0.12357142857142857
cp_cox_halfsplit,CP + Cox (Half-Split),0.905,1.609599792456524,0.17463366539930036,aft_lognormal_linear,Log-Normal AFT (Linear),9,20440424,0.8,2.019753541063662,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3092857142857143,0.12357142857142857
cp_cox_full,CP + Cox,0.8883333333333333,1.5964679061233291,0.17164441945123735,aft_lognormal_linear,Log-Normal AFT (Linear),10,20440425,0.8,2.0119094670216295,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.32,0.12
